Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S2-358-1012
Application version = 2.2.4.0
Flow = 99 ml/min
Timebase = 60 s
Start date = 2020/01/23
Start time = 10:52:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
2020/01/23,14:47:00,909758,596878,"42.147",99,33,0,100,6094
2020/01/23,14:48:00,909581,596143,"42.250",99,33,0,100,5953
2020/01/23,14:49:00,909610,595627,"42.340",99,33,0,100,5151
2020/01/23,14:50:00,909602,595136,"42.422",99,33,0,100,4681
2020/01/23,14:51:00,909601,594659,"42.502",99,33,0,100,4594
2020/01/23,14:52:00,909522,594188,"42.572",99,33,0,100,4048
2020/01/23,14:53:00,909644,593574,"42.689",99,33,0,100,6701
2020/01/23,14:54:00,909569,592642,"42.838",99,33,0,100,8543
2020/01/23,14:55:00,909581,591485,"43.035",99,33,0,100,11288
2020/01/23,14:56:00,909526,589987,"43.282",99,33,0,100,14202
2020/01/23,14:57:00,909518,589346,"43.390",99,33,0,100,6186
2020/01/23,14:58:00,909522,588563,"43.524",99,33,0,100,7653
2020/01/23,14:59:00,909457,586954,"43.790",99,33,0,100,15296
2020/01/23,15:00:00,909355,586331,"43.885",99,33,0,100,5449
2020/01/23,15:01:00,909520,585670,"44.016",99,33,0,100,7513
2020/01/23,15:02:00,909558,584958,"44.142",99,33,0,100,7219
2020/01/23,15:03:00,909491,584329,"44.242",99,33,0,100,5750
2020/01/23,15:04:00,909471,583792,"44.332",99,33,0,100,5149
2020/01/23,15:05:00,909455,583205,"44.431",99,33,0,100,5671
2020/01/23,15:06:00,909452,582667,"44.523",99,33,0,100,5276
2020/01/23,15:07:00,909365,582206,"44.592",99,34,0,100,3992
2020/01/23,15:08:00,909339,581509,"44.709",99,34,0,100,6709
2020/01/23,15:09:00,909366,581115,"44.780",99,34,0,100,4059
2020/01/23,15:10:00,909420,580757,"44.847",99,34,0,100,3876
2020/01/23,15:11:00,909400,580293,"44.925",99,34,0,100,4460
2020/01/23,15:12:00,909328,579524,"45.050",99,34,0,100,7154
2020/01/23,15:13:00,909266,579202,"45.099",99,34,0,100,2798
2020/01/23,15:14:00,909262,578867,"45.156",99,34,0,100,3294
2020/01/23,15:15:00,909203,578559,"45.203",99,34,0,100,2681
2020/01/23,15:16:00,909116,578164,"45.262",99,34,0,100,3369
2020/01/23,15:17:00,909165,577869,"45.318",99,34,0,100,3237
2020/01/23,15:18:00,909187,577518,"45.381",99,34,0,100,3625
2020/01/23,15:19:00,909165,577150,"45.442",99,34,0,100,3518
2020/01/23,15:20:00,909164,576795,"45.504",99,34,0,100,3524
2020/01/23,15:21:00,909100,576136,"45.611",99,34,0,100,6155
2020/01/23,15:22:00,909061,575675,"45.687",99,34,0,100,4347
2020/01/23,15:23:00,909178,575363,"45.754",99,34,0,100,3849
2020/01/23,15:24:00,909026,574836,"45.829",99,34,0,100,4298
2020/01/23,15:25:00,908962,574409,"45.896",99,34,0,100,3859
2020/01/23,15:26:00,909053,574083,"45.963",99,34,0,100,3831
2020/01/23,15:27:00,909044,573317,"46.095",99,34,0,100,7604
2020/01/23,15:28:00,909049,572373,"46.261",99,34,0,100,9486
2020/01/23,15:29:00,908970,571919,"46.331",99,34,0,100,4054
